昵称,id,学历,学校,学院,专业,经验,简介
硌牙的小钢豆,5b399de4870fe9f74089eaf8,博士生,对外经济贸易大学,金融学院,Economics / Finance,,
陈亮,5b387f9289efe61241685c93,博士生,重庆大学,经济与工商管理学院,Economics,我是重庆大学经济与工商管理学院应用经济学博士生，研究方向为区域、空间、制度经济,
Gulnigar,5b38250f870fe9f74089eae3,硕士,北京师范大学,心理学部,,,
孔兰兰,5b37758589efe61241685c8e,副教授,江苏大学,管理学院,Business Administation / Management Science,,
JOY,5b349b2089efe61241685c70,研究生,湘潭大学,商学院,Business Administation / Management Science,,
Wolf,5b3579d7870fe9f74089eace,教师,鲁东大学,教育科学学院,Psychology,鲁东大学心理学教师一名,
孔竞,5b35c3a5870fe9f74089ead3,学生,辽宁大学,哲管院,Social Sciences,辽宁大学行政管理专业研究生,"as a graduated student, my major is administration, i am interested in potical science."
李振洋,5b33841c870fe9f74089ea8d,博士生,南开大学,经济学院,Social Sciences,南开大学产业经济学,
居伊,5b33224c89efe61241685c67,学生,华东师范大学,心理与认知科学学院,Psychology,,
LunaTic,5b32139589efe61241685c5b,博士生,芬兰于韦斯屈莱大学,心理学系,Psychology,,
周周,5b30d39b870fe9f74089ea7d,学生,湖南师范大学,教育科学学院,Education,,
王振江,5b3183b3870fe9f74089ea7e,博士生,对外经贸大学,国际商学院,Business Administation / Management Science,研究论文,战略管理
iii,5b31a255870fe9f74089ea7f,纯艺学者,伦敦艺术学院,圣马丁,Biological Sciences,,
刘欣欣,5b31cb2489efe61241685c59,学生,新疆师范大学,心理学,,,
尚阿利,5b2cf28889efe61241685c41,研究生,医院,医学影像科,Medicine,影像学的研究生,
Lee,5b2af9cf870fe9f74089e95e,博士,青岛大学,商学院,Business Administation / Management Science,,
顷墨,5b2a449589efe61241685bce,无,无,无,无,无,无
杨琨,5b2a036b870fe9f74089e95d,学生,江苏科技大学,经济管理学院,Economics / Finance,一位有求知欲的小白,
晚风,5b29228a870fe9f74089e92e,学生,西安科技大学,管理学院,Economics / Finance,喜欢听歌，看书，也喜欢慢跑，散步。,无
孫玉婷,5b24cc77870fe9f74089e7e7,碩士,國立台灣大學,景觀休憩,Sports and Recreation,,
Siyuana ,5b234344870fe9f74089e7db,学生,北京大学,心理与认知,Psychology,佛系少女，撸铁女汉子,
先停,5b21e5ad89efe61241685a90,学生,复旦大学,心理学系,Psychology,,
PlanktonCroft,5b2213d689efe61241685a98,学生,浙江农林大学,环境与资源学院,Earth Sciences,Just keep challenging!,
tonybehind,5b222100870fe9f74089e7d2,学生,北京大学,汇丰商学院,Economics / Finance,,
liuhu,5b2222fc870fe9f74089e7d3,学生,南京信息工程大学,管理工程学院,Social Sciences,liuhu,
张平,5b20c88d870fe9f74089e7be,教授,九江学院,经济与管理学院,Business Administation / Management Science,九江学院物流管理教研室教授，博士,致力于从供应链视角研究服务链的优化问题。
上树的老虎,5b1fce43870fe9f74089e71f,教师,山东财经大学,工商管理学院,Business Administation / Management Science,,
馨如姐姐,5b1f5e9c89efe61241685a3c,研究生,清华大学,计算机系,Computer and Information Science,,
Iris,5b1f6dc189efe61241685a42,学生,武汉大学,经济与管理学院,Business Administation / Management Science,对OB有着兴趣的初级魔法师,会继续努力
曾甜,5b1d347c89efe61241685a23,学生,中山大学,电子与信息学院,Engineering,在读高校学生,无。
懒懒姨,5b1dd2d989efe61241685a2a,学生,重庆大学,经济与工商管理学院,Business Administation / Management Science,,
Michelle Qin,5b1cd29f89efe61241685a10,博士生,南开大学,南开大学商学院,Business Administation / Management Science,一个愿意坚持到最后，再看看来时风景的人。,正在学习中
梅影旦,5b1bb400870fe9f74089e657,供应商质量管理专家,法雷奥汽车内部控制（深圳）有限公司,全球电子研发中心,Engineering,就读于中山大学国际部MBA，研究方向为供应商选择与风险管理。十年以上大型外企供应商质量管理经验，熟练运用各种质量工具帮助企业进行质量水平的提升。,
Nian Liu,5b1bb75c870fe9f74089e658,学生,湖南科技大学,教育学院,Psychology,Psychology,
小燕子,5b1b9c0589efe61241685a01,博士生,三峡大学,教育学院,Psychology,心理学科研工,
沐紫,5b192b0b89efe612416859e2,教师,大连财经学院,工商管理学院,Business Administation / Management Science,我是一名大学教师，主要研究战略管理方面，希望能够更加进步。,
Iris,5b17eec0870fe9f74089e640,学生,广州大学,教育学院,Psychology,,
石文萍,5b17b0e3870fe9f74089e636,博士生,山西财经大学,商学院,Social Sciences,,
